Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Mobile,,,,2021-12-02 19:40:31,2021-12-02 19:41:54,1m - 22.284s,PASSED
,,,,,,,
Test Cases/SehatQ/Mobile/Register,,,,2021-12-02 19:40:32,2021-12-02 19:41:54,1m - 21.781s,PASSED
"startExistingApplication(""com.she.sehatq"")",,,,2021-12-02 19:40:32,2021-12-02 19:40:46,13.752s,PASSED
mobile = new com.sehatq.pageobjects.mobile.home.MobileSehatq(),,,,2021-12-02 19:40:46,2021-12-02 19:40:46,0.107s,PASSED
"mobile.register(nama, Email, Password, Action, nomortlp, gender, jenisidentitas, nomoridentitas)",,,,2021-12-02 19:40:46,2021-12-02 19:41:54,1m - 7.269s,PASSED
