Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Mobile,,,,2021-12-02 19:07:20,2021-12-02 19:09:26,2m - 6.086s,FAILED
,,,,,,,
Test Cases/SehatQ/Mobile/Login,,,,2021-12-02 19:07:21,2021-12-02 19:07:56,35.869s,PASSED
"startExistingApplication(""com.she.sehatq"")",,,,2021-12-02 19:07:21,2021-12-02 19:07:35,14.462s,PASSED
mobile = new com.sehatq.pageobjects.mobile.home.MobileSehatq(),,,,2021-12-02 19:07:35,2021-12-02 19:07:36,0.135s,PASSED
"mobile.login(Email, Password)",,,,2021-12-02 19:07:36,2021-12-02 19:07:56,20.783s,PASSED
,,,,,,,
Test Cases/SehatQ/Mobile/Login,,,,2021-12-02 19:07:56,2021-12-02 19:09:25,1m - 28.445s,PASSED
"startExistingApplication(""com.she.sehatq"")",,,,2021-12-02 19:07:56,2021-12-02 19:08:09,12.959s,PASSED
mobile = new com.sehatq.pageobjects.mobile.home.MobileSehatq(),,,,2021-12-02 19:08:09,2021-12-02 19:08:09,0.001s,PASSED
"mobile.login(Email, Password)",,,,2021-12-02 19:08:09,2021-12-02 19:09:25,1m - 15.477s,PASSED
,,,,,,,
Test Cases/SehatQ/Mobile/Login,,,,2021-12-02 19:09:25,2021-12-02 19:09:25,0.032s,FAILED
"startExistingApplication(""com.she.sehatq"")",,,,2021-12-02 19:09:25,2021-12-02 19:09:25,0.026s,FAILED
,,,,,,,
Test Cases/SehatQ/Mobile/Register,,,,2021-12-02 19:09:25,2021-12-02 19:09:26,0.546s,FAILED
"startExistingApplication(""com.she.sehatq"")",,,,2021-12-02 19:09:26,2021-12-02 19:09:26,0.014s,FAILED
,,,,,,,
Test Cases/SehatQ/Mobile/cart,,,,2021-12-02 19:09:26,2021-12-02 19:09:26,0.353s,FAILED
"startExistingApplication(""com.she.sehatq"")",,,,2021-12-02 19:09:26,2021-12-02 19:09:26,0.005s,FAILED
